,TCI
2024-03-13,63.84279608497625
2024-03-14,63.81078829352934
2024-03-15,64.06552365040142
2024-03-18,63.86321878857253
2024-03-19,63.29763026660085
2024-03-20,63.34910442203103
2024-03-21,63.45593171635869
2024-03-22,63.6471395040317
2024-03-25,63.74257474871749
2024-03-26,63.77165803131836
2024-03-27,64.29842162492527
2024-03-28,64.17263821816624
2024-04-01,64.21975918877948
2024-04-02,63.74714320668562
2024-04-03,63.64189966859486
2024-04-04,63.73625404570921
2024-04-05,63.80461963524594
2024-04-08,63.77893765687082
2024-04-09,63.52880513555572
2024-04-10,63.794633726685504
2024-04-11,63.545821073642195
2024-04-12,64.05349315524401
2024-04-15,64.28641818231425
2024-04-16,64.21782862440716
2024-04-17,64.21249182652514
2024-04-18,64.40207625710556
2024-04-19,64.05604746138128
2024-04-22,64.4186409269866
2024-04-23,64.65245580394874
2024-04-24,64.45735922575633
2024-04-25,64.23169303436734
2024-04-26,64.03140223794549
2024-04-29,64.21684085596323
2024-04-30,64.7819439303633
2024-05-01,64.72285966935753
2024-05-02,64.75329841865003
2024-05-03,65.32167707674165
2024-05-06,65.57366488777694
2024-05-07,65.39160816656201
2024-05-08,65.44806344442932
2024-05-09,65.60647401190035
2024-05-10,65.35718023824948
2024-05-13,65.23779629608296
2024-05-14,65.30802452510007
2024-05-15,65.31473621726161
2024-05-16,64.97201489749384
2024-05-17,65.22870811046673
2024-05-20,65.13793626303091
2024-05-21,65.02412409532485
2024-05-22,65.13276559378977
2024-05-23,65.60625495794376
2024-05-24,65.68418344977806
2024-05-28,65.55204440022841
2024-05-29,65.76785368482312
2024-05-30,65.11153228840456
2024-05-31,65.36126449034452
2024-06-03,65.21731621182288
2024-06-04,65.15765179583511
2024-06-05,65.31700285992167
2024-06-06,65.26408852218285
2024-06-07,65.10325540962918
2024-06-10,64.6953695028066
2024-06-11,64.50474052718037
2024-06-12,64.37480431394651
2024-06-13,64.02693316898309
2024-06-14,63.93143134470194
2024-06-17,63.81059447083125
2024-06-18,63.94683824923659
2024-06-20,63.98402922484547
2024-06-21,63.98785623590285
2024-06-24,64.13768662776295
2024-06-25,64.05193810291156
2024-06-26,64.17282754864108
2024-06-27,64.25879308745974
2024-06-28,64.24055351021664
2024-07-01,63.84315057941555
2024-07-02,63.5141476402796
2024-07-03,63.397583070573205
2024-07-05,63.121070902331056
2024-07-08,62.96361258066662
2024-07-09,62.05967646255661
2024-07-10,62.10516993356824
2024-07-11,61.773530899387055
2024-07-12,61.13075752919788
2024-07-15,61.26236331291947
2024-07-16,61.29034800897938
2024-07-17,61.41500350929635
2024-07-18,61.33731829357099
2024-07-19,60.958200405602284
2024-07-22,61.16298331148505
2024-07-23,61.34903935473759
2024-07-24,61.74817426043512
2024-07-25,61.666478177566944
2024-07-26,61.82135727021444
2024-07-29,61.92636118066041
2024-07-30,61.4037718038608
2024-07-31,61.40456313099446
2024-08-01,60.52008240045201
2024-08-02,60.36368679850867
2024-08-05,61.51631932430621
2024-08-06,61.61443995694443
2024-08-07,61.22048536769496
2024-08-08,61.72196228100144
2024-08-09,61.73989582256107
2024-08-12,61.76143073068388
2024-08-13,62.08823273929386
2024-08-14,61.72010012703906
2024-08-15,61.78625903943635
2024-08-16,61.87280789600702
2024-08-19,62.0554423037218
2024-08-20,60.94396046513248
2024-08-21,61.01155426200147
2024-08-22,61.17369726320118
2024-08-23,61.275256716765725
2024-08-26,61.24206074359972
2024-08-27,60.78323009828637
2024-08-28,60.7050854547159
2024-08-29,60.75494680497903
2024-08-30,59.56714447677444
2024-09-03,59.981232071147815
2024-09-04,60.18922009094957
2024-09-05,60.243783003753116
2024-09-06,60.51433035939726
2024-09-09,60.811542159504526
2024-09-10,60.60267227937405
2024-09-11,60.453531164380024
2024-09-12,60.53420870803886
2024-09-13,60.68867504930591
2024-09-16,60.92944580553339
2024-09-17,60.91434151759777
2024-09-18,61.060086488780605
2024-09-19,61.07903451086932
2024-09-20,60.56168939239467
2024-09-23,60.67194360198314
2024-09-24,60.662782474015565
2024-09-25,60.60724138909347
2024-09-26,60.322423518173274
2024-09-27,60.289789895809
2024-09-30,59.58930930532716
2024-10-01,59.9921499184343
2024-10-02,59.8751039901924
2024-10-03,60.01866712707729
2024-10-04,59.81662137421687
2024-10-07,59.48558592999823
2024-10-08,59.19548378401925
2024-10-09,59.100819811428615
2024-10-10,59.07196731348123
2024-10-11,58.98861329728614
2024-10-14,58.9546172141896
2024-10-15,58.57520717155317
2024-10-16,58.762847075101845
2024-10-17,59.0685011450091
2024-10-18,59.12214983308943
2024-10-21,59.2087584268111
2024-10-22,59.08656335888757
2024-10-23,58.9781853238171
2024-10-24,58.25868671160078
2024-10-25,58.19742570510405
2024-10-28,58.30229301483952
2024-10-29,58.19101061264895
2024-10-30,57.945163029057454
2024-10-31,58.11854042004219
2024-11-01,58.07069084482266
2024-11-04,57.83043677848044
2024-11-05,58.26191155459011
2024-11-06,57.343697214908765
2024-11-07,57.52985788734283
2024-11-08,57.987317823813335
2024-11-11,57.656498674294255
2024-11-12,57.77288433230642
2024-11-13,57.358625072292526
2024-11-14,57.20541960300224
2024-11-15,57.35243204436661
2024-11-18,57.15777127922871
2024-11-19,57.12815950163074
2024-11-20,56.943854333129295
